road,id,model_type,name,lat,lon,length,condition,road_lrp,nearest_road,distance_to_nearest_road
N1,N1_259,link,Ctg 101 km,23.0449719,91.3653611,1.0209999999999866,,N1LRP144,N104_6,3.984944767195759
N1,N1_261,link,Km post missing,23.0360274,91.36575,0.24099999999998545,,N1LRP145,N104_6,2.99512872131868
N1,N1_263,link,"Ctg 99 km,Feni 3 km",23.0269716,91.3655,0.0010000000000047748,,N1LRP146,N104_6,2.014256608805061
N1,N1_264,link,"Ctg 98 km,Feni 2 km",23.0193604,91.3697771,1.0009999999999764,,N1LRP147,N104_6,1.1048975033277046
N1,N1_265,link,Km post missing,23.0132778,91.3769438,1.0,,N1LRP148,N104_4,0.5441947636256633
N1,N1_267,link,Ctg 95 km,23.0018889,91.3920552,1.8770000000000095,,N1LRP150,N104_3,0.85624921761529
N1,N1_269,link,Km post missing,22.9963886,91.3998052,0.5200000000000102,,N1LRP151,N104_3,1.7636869573918426
N1,N1_273,link,"Ctg 93 km,Lalpole 1 km",22.9906941,91.4072222,0.34600000000000364,,N1LRP152,N104_3,2.7314753375941674
N1,N1_274,link,Ctg 91 km,22.9842219,91.4137222,1.0,,N1LRP153,N104_3,3.7111578241171728
N1,N1_275,link,Ctg 91 km,22.9774438,91.4205827,1.0509999999999877,,N1LRP154,N104_3,4.740986358861425
N1,N1_276,link,Km post missing,22.9711382,91.4273882,1.0,,N1LRP155,N104_3,5.728169544137957
N1,N1_277,link,Km post missing,22.9663333,91.4356108,1.0,,N1LRP156,N104_3,6.694604567524371
N1,N1_279,link,Km post missing,22.9611667,91.4433886,0.049000000000006594,,N1LRP157,N104_3,7.664162858760551
N1,N1_280,link,Ctg 87 km,22.9561389,91.4517778,1.0430000000000064,,N1LRP158,N104_3,8.67162572162481
N1,N1_281,link,Km post missing,22.9514444,91.4600278,1.0,,N1LRP159,N104_3,9.647397431091665
N1,N1_282,link,"Ctg 85 km,Bairyahat 10 km",22.9479997,91.4689993,1.0120000000000005,,N1LRP160,N104_3,10.592326135360818
N1,N1_283,link,Km post missing,22.9484997,91.4786938,1.0,,N1LRP161,N104_3,11.336622163714875
N1,N1_285,link,Ctg 83 km,22.9497497,91.4883608,0.9240000000000066,,N1LRP162,N104_3,12.068457568128803
N1,N1_286,link,Km post missing,22.9497774,91.4980274,1.0,,N1LRP163,N104_3,12.905592449611875
N1,N1_288,link,Ctg 81 kkm,22.9482774,91.50725,0.5840000000000032,,N1LRP164,N104_3,13.805896839257967
N1,N1_289,link,Km post missing,22.940833,91.5124444,1.0,,N1LRP165,N104_3,14.68335084697538
N1,N1_290,link,Km post missing,22.9329716,91.5172216,1.0,,N1LRP166,N104_3,15.562957711999642
N1,N1_291,link,Km post missing,22.9248882,91.5213327,1.0,,N1LRP167,N104_3,16.41464303452398
N1,N1_292,link,Km post missing,22.9167216,91.5253882,1.0,,N1LRP168,N104_3,17.28233964079905
N1,N1_295,link,Km post missing,22.9085833,91.5294993,0.13800000000000523,,N1LRP169,N104_3,18.166059655447082
N1,N1_297,link,Km post missing,22.9003333,91.5333608,0.48399999999998045,,N1LRP170,N104_3,19.049275217675863
N1,N1_299,link,Km post missing,22.8916386,91.5354719,0.0,,N1LRP171,N104_3,19.84073755240358
N1,N1_300,link,Km post missing / Box culvert,22.8829993,91.5381663,1.0,,N1LRP172,N104_3,20.689043944561952
N1,N1_302,link,Km post missing,22.8744438,91.5409719,0.030000000000001137,,N1LRP173,N104_3,21.552027437897813
N1,N1_305,link,Km post missing,22.8661111,91.5439997,0.23799999999999955,,N1LRP174,N104_3,22.42426285582826
N1,N1_308,link,Km post missing,22.8575556,91.5456386,0.23499999999998522,,N1LRP175,N104_3,23.224810865269376
N1,N1_311,link,Km post missing,22.8486663,91.5463608,0.7330000000000041,,N1LRP176,N104_3,24.00227798290525
N1,N1_316,link,Km post missing,22.8401941,91.5490552,0.103999999999985,,N1LRP177,N104_3,24.891611373300552
N1,N1_318,link,Km post missing,22.8313882,91.5503611,0.15899999999999181,,N1LRP178,N104_3,25.724973346455435
N1,N1_321,link,Km post missing,22.8228049,91.5531389,0.17799999999999727,,N1LRP179,N104_3,26.64401119669537
N1,N1_322,link,Km post missing,22.8141389,91.5555833,1.0,,N1LRP180,N104_3,27.55459614054409
N1,N1_324,link,Km post missing,22.8059444,91.5589167,0.7159999999999798,,N1LRP181,N104_3,28.484434406418764
N1,N1_325,link,Km post missing,22.7974719,91.5613611,1.0,,N1LRP182,N104_3,29.38728918611448
N1,N1_327,link,Km post missing,22.7893608,91.5655833,0.5999999999999943,,N1LRP183,N104_3,30.369729159264526
N1,N1_329,link,Km post missing,22.7812216,91.5695827,0.11299999999999955,,N1LRP184,N104_19,31.31330840634352
N1,N1_331,link,Km post missing,22.7730271,91.5734716,0.13800000000000523,,N1LRP185,N104_19,32.19941194805912
N1,N1_333,link,Km post missing,22.7654722,91.5785549,0.6449999999999818,,N1LRP186,N104_19,33.13883527243475
N1,N1_335,link,Km post missing,22.7585278,91.5845274,0.6670000000000016,,N1LRP187,N104_19,34.10588613687569
N1,N1_337,link,Km post missing,22.7513333,91.5903608,0.3089999999999975,,N1LRP188,N104_19,35.0814572350538
N1,N1_340,link,Km post missing,22.7435552,91.5949163,0.1209999999999809,,N1LRP189,N106_31,34.95233569347014
N1,N1_341,link,Km post missing,22.7349997,91.5979441,1.0,,N1LRP190,N106_31,34.016926524695016
